locker_name,location,status
3a10,A동 301호 앞(과방),AVAILABLE
3a11,A동 301호 앞(과방),AVAILABLE
3a12,A동 301호 앞(과방),AVAILABLE
3a13,A동 301호 앞(과방),AVAILABLE
3a14,A동 301호 앞(과방),AVAILABLE
3a15,A동 301호 앞(과방),AVAILABLE
3a16,A동 301호 앞(과방),AVAILABLE
3a17,A동 301호 앞(과방),AVAILABLE
3a18,A동 301호 앞(과방),AVAILABLE
3a19,A동 301호 앞(과방),AVAILABLE
3a20,A동 301호 앞(과방),AVAILABLE
3a21,A동 301호 앞(과방),AVAILABLE
3a22,A동 301호 앞(과방),AVAILABLE
3a23,A동 301호 앞(과방),AVAILABLE
3a24,A동 301호 앞(과방),AVAILABLE
3a25,A동 301호 앞(과방),AVAILABLE
3a26,A동 301호 앞(과방),AVAILABLE
3a27,A동 301호 앞(과방),AVAILABLE
3a28,A동 301호 앞(과방),AVAILABLE
3a29,A동 301호 앞(과방),AVAILABLE
3a30,A동 301호 앞(과방),AVAILABLE
3a31,A동 301호 앞(과방),AVAILABLE
3a32,A동 301호 앞(과방),AVAILABLE
3a33,A동 301호 앞(과방),AVAILABLE
3a34,A동 301호 앞(과방),AVAILABLE
3a35,A동 301호 앞(과방),AVAILABLE
3a36,A동 301호 앞(과방),AVAILABLE
3a37,A동 301호 앞(과방),AVAILABLE
3a38,A동 301호 앞(과방),AVAILABLE
3a39,A동 301호 앞(과방),AVAILABLE
3a40,A동 301호 앞(과방),AVAILABLE
3a41,A동 301호 앞(과방),AVAILABLE
3a42,A동 301호 앞(과방),AVAILABLE
3a43,A동 301호 앞(과방),AVAILABLE
3a44,A동 301호 앞(과방),AVAILABLE
3a45,A동 301호 앞(과방),AVAILABLE
3a46,A동 301호 앞(과방),AVAILABLE
3a47,A동 301호 앞(과방),AVAILABLE
3a48,A동 301호 앞(과방),AVAILABLE
3a49,A동 301호 앞(과방),AVAILABLE
3a50,A동 301호 앞(과방),AVAILABLE
3a51,A동 301호 앞(과방),AVAILABLE
3a52,A동 301호 앞(과방),AVAILABLE
3a53,A동 301호 앞(과방),AVAILABLE
3a54,A동 301호 앞(과방),AVAILABLE
3a55,A동 3층 계단 앞,AVAILABLE
3a56,A동 3층 계단 앞,AVAILABLE
3a57,A동 3층 계단 앞,AVAILABLE
3a58,A동 3층 계단 앞,AVAILABLE
3a59,A동 3층 계단 앞,AVAILABLE
3a60,A동 3층 계단 앞,AVAILABLE
3a61,A동 3층 계단 앞,AVAILABLE
3a62,A동 3층 계단 앞,AVAILABLE
3a63,A동 3층 계단 앞,AVAILABLE
2c28,A동 2층 217호 앞(서점쪽 계단),AVAILABLE
2c29,A동 2층 217호 앞(서점쪽 계단),AVAILABLE
2c30,A동 2층 217호 앞(서점쪽 계단),AVAILABLE
2c31,A동 2층 217호 앞(서점쪽 계단),AVAILABLE
2c32,A동 2층 217호 앞(서점쪽 계단),AVAILABLE
2c33,A동 2층 217호 앞(서점쪽 계단),AVAILABLE
2c34,A동 2층 217호 앞(서점쪽 계단),AVAILABLE
2c35,A동 2층 217호 앞(서점쪽 계단),AVAILABLE
2c36,A동 2층 217호 앞(서점쪽 계단),AVAILABLE
3b01,B동 3층 중앙계단,AVAILABLE
3b02,B동 3층 중앙계단,AVAILABLE
3b03,B동 3층 중앙계단,AVAILABLE
3b04,B동 3층 중앙계단,AVAILABLE
3b05,B동 3층 중앙계단,AVAILABLE
3b06,B동 3층 중앙계단,AVAILABLE
3b07,B동 3층 중앙계단,AVAILABLE
3b08,B동 3층 중앙계단,AVAILABLE
3b09,B동 3층 중앙계단,AVAILABLE
3b10,B동 3층 중앙계단,AVAILABLE
3b11,B동 3층 중앙계단,AVAILABLE
3b12,B동 3층 중앙계단,AVAILABLE
3b13,B동 3층 중앙계단,AVAILABLE
3b14,B동 3층 중앙계단,AVAILABLE
3b15,B동 3층 중앙계단,AVAILABLE
3b16,B동 3층 중앙계단,AVAILABLE
3b17,B동 3층 중앙계단,AVAILABLE
3b18,B동 3층 중앙계단,AVAILABLE
1a01,B동 안뜰로 가는 통로,AVAILABLE
1a02,B동 안뜰로 가는 통로,AVAILABLE
1a03,B동 안뜰로 가는 통로,AVAILABLE
1a04,B동 안뜰로 가는 통로,AVAILABLE
1a05,B동 안뜰로 가는 통로,AVAILABLE
1a06,B동 안뜰로 가는 통로,AVAILABLE
1a07,B동 안뜰로 가는 통로,AVAILABLE
1a08,B동 안뜰로 가는 통로,AVAILABLE
1a09,B동 안뜰로 가는 통로,AVAILABLE
1a10,B동 안뜰로 가는 통로,AVAILABLE
1a11,B동 안뜰로 가는 통로,AVAILABLE
1a12,B동 안뜰로 가는 통로,AVAILABLE
1a13,B동 안뜰로 가는 통로,AVAILABLE
1a14,B동 안뜰로 가는 통로,AVAILABLE
1a15,B동 안뜰로 가는 통로,AVAILABLE
1a16,B동 안뜰로 가는 통로,AVAILABLE
1a17,B동 안뜰로 가는 통로,AVAILABLE
1a18,B동 안뜰로 가는 통로,AVAILABLE
1a19,B동 안뜰로 가는 통로,AVAILABLE
1a20,B동 안뜰로 가는 통로,AVAILABLE
1a21,B동 안뜰로 가는 통로,AVAILABLE
1a22,B동 안뜰로 가는 통로,AVAILABLE
1a23,B동 안뜰로 가는 통로,AVAILABLE
1a24,B동 안뜰로 가는 통로,AVAILABLE
1a25,B동 안뜰로 가는 통로,AVAILABLE
1a26,B동 안뜰로 가는 통로,AVAILABLE
1a27,B동 안뜰로 가는 통로,AVAILABLE
1a28,B동 안뜰로 가는 통로,AVAILABLE
1a29,B동 안뜰로 가는 통로,AVAILABLE
1a30,B동 안뜰로 가는 통로,AVAILABLE
1a31,B동 안뜰로 가는 통로,AVAILABLE
1a32,B동 안뜰로 가는 통로,AVAILABLE
1a33,B동 안뜰로 가는 통로,AVAILABLE
1a34,B동 안뜰로 가는 통로,AVAILABLE
1a35,B동 안뜰로 가는 통로,AVAILABLE
1a36,B동 안뜰로 가는 통로,AVAILABLE
1a37,B동 안뜰로 가는 통로,AVAILABLE
1a38,B동 안뜰로 가는 통로,AVAILABLE
1a39,B동 안뜰로 가는 통로,AVAILABLE
1a40,B동 안뜰로 가는 통로,AVAILABLE
1a41,B동 안뜰로 가는 통로,AVAILABLE
1a42,B동 안뜰로 가는 통로,AVAILABLE
1a43,B동 안뜰로 가는 통로,AVAILABLE
1a44,B동 안뜰로 가는 통로,AVAILABLE
1a45,B동 안뜰로 가는 통로,AVAILABLE
1a46,B동 안뜰로 가는 통로,AVAILABLE
1a47,B동 안뜰로 가는 통로,AVAILABLE
1a48,B동 안뜰로 가는 통로,AVAILABLE
1a49,B동 안뜰로 가는 통로,AVAILABLE
1a50,B동 안뜰로 가는 통로,AVAILABLE
1a51,B동 안뜰로 가는 통로,AVAILABLE
1a52,B동 안뜰로 가는 통로,AVAILABLE
1a53,B동 안뜰로 가는 통로,AVAILABLE
1a54,B동 안뜰로 가는 통로,AVAILABLE
1a55,B동 안뜰로 가는 통로,AVAILABLE
1a56,B동 안뜰로 가는 통로,AVAILABLE
1a57,B동 안뜰로 가는 통로,AVAILABLE
3c01,C동 3층 경사로(352-2호 앞),AVAILABLE
3c02,C동 3층 경사로(352-2호 앞),AVAILABLE
3c03,C동 3층 경사로(352-2호 앞),AVAILABLE
3c04,C동 3층 경사로(352-2호 앞),AVAILABLE
3c05,C동 3층 경사로(352-2호 앞),AVAILABLE
3c06,C동 3층 경사로(352-2호 앞),AVAILABLE
3c07,C동 3층 경사로(352-2호 앞),AVAILABLE
3c08,C동 3층 경사로(352-2호 앞),AVAILABLE
3c09,C동 3층 경사로(352-2호 앞),AVAILABLE
3c10,C동 3층 경사로(352-2호 앞),AVAILABLE
3c11,C동 3층 경사로(352-2호 앞),AVAILABLE
3c12,C동 3층 경사로(352-2호 앞),AVAILABLE
3c13,C동 3층 경사로(352-2호 앞),AVAILABLE
3c14,C동 3층 경사로(352-2호 앞),AVAILABLE
3c15,C동 3층 경사로(352-2호 앞),AVAILABLE
3c16,C동 3층 경사로(352-2호 앞),AVAILABLE
3c17,C동 3층 경사로(352-2호 앞),AVAILABLE
3c18,C동 3층 경사로(352-2호 앞),AVAILABLE
3c19,C동 3층 경사로(352-2호 앞),AVAILABLE
3c20,C동 3층 경사로(352-2호 앞),AVAILABLE
3c21,C동 3층 경사로(352-2호 앞),AVAILABLE
3c22,C동 3층 경사로(352-2호 앞),AVAILABLE
3c23,C동 3층 경사로(352-2호 앞),AVAILABLE
3c24,C동 3층 경사로(352-2호 앞),AVAILABLE
3c25,C동 3층 경사로(352-2호 앞),AVAILABLE
3c26,C동 3층 경사로(352-2호 앞),AVAILABLE
3c27,C동 3층 경사로(352-2호 앞),AVAILABLE
3c28,C동 3층 경사로(352-2호 앞),AVAILABLE
3c29,C동 3층 경사로(352-2호 앞),AVAILABLE
3c30,C동 3층 경사로(352-2호 앞),AVAILABLE
3c31,C동 3층 경사로(352-2호 앞),AVAILABLE
3c32,C동 3층 경사로(352-2호 앞),AVAILABLE
3c33,C동 3층 경사로(352-2호 앞),AVAILABLE
3c34,C동 3층 경사로(352-2호 앞),AVAILABLE
3c35,C동 3층 경사로(352-2호 앞),AVAILABLE
3c36,C동 3층 경사로(352-2호 앞),AVAILABLE
3c37,C동 3층 중앙 계단,AVAILABLE
